@relation dataset_2_500der_win10
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute d_bandwidth_6 numeric
@attribute bandwidth_7 numeric
@attribute d_bandwidth_7 numeric
@attribute bandwidth_8 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',7223,875,875,5322,6197,2,6199,-2,6197,-7,6190,10,6200,-1172,5028,-899,4129,'byte_4500'
'time_0',875,2068,6197,2,6199,-2,6197,-7,6190,10,6200,-1172,5028,-899,4129,0,4129,'byte_4500'
'time_0',6197,2070,6199,-2,6197,-7,6190,10,6200,-1172,5028,-899,4129,0,4129,0,4129,'byte_4500'
'time_0',6199,2068,6197,-7,6190,10,6200,-1172,5028,-899,4129,0,4129,0,4129,1,4130,'byte_6000'
'time_0',6197,2060,6190,10,6200,-1172,5028,-899,4129,0,4129,0,4129,1,4130,1482,5612,'byte_2500'
'time_1',6190,588,6200,-1172,5028,-899,4129,0,4129,0,4129,1,4130,1482,5612,-3399,2213,'byte_3500'
'time_1',6200,2815,5028,-899,4129,0,4129,0,4129,1,4130,1482,5612,-3399,2213,881,3094,'byte_3500'
'time_1',5028,1035,4129,0,4129,0,4129,1,4130,1482,5612,-3399,2213,881,3094,5,3099,'byte_3500'
'time_1',4129,1030,4129,0,4129,1,4130,1482,5612,-3399,2213,881,3094,5,3099,-1,3098,'byte_3500'
'time_1',4129,1031,4129,1,4130,1482,5612,-3399,2213,881,3094,5,3099,-1,3098,2,3100,'byte_2500'
'time_1',4129,1030,4130,1482,5612,-3399,2213,881,3094,5,3099,-1,3098,2,3100,-1065,2035,'byte_1500'
'time_2',4130,3577,5612,-3399,2213,881,3094,5,3099,-1,3098,2,3100,-1065,2035,-793,1242,'byte_1500'
'time_2',5612,971,2213,881,3094,5,3099,-1,3098,2,3100,-1065,2035,-793,1242,-3,1239,'byte_1500'
'time_2',2213,1855,3094,5,3099,-1,3098,2,3100,-1065,2035,-793,1242,-3,1239,-4,1235,'byte_1500'
'time_2',3094,1864,3099,-1,3098,2,3100,-1065,2035,-793,1242,-3,1239,-4,1235,7,1242,'byte_1500'
'time_2',3099,1856,3098,2,3100,-1065,2035,-793,1242,-3,1239,-4,1235,7,1242,-3,1239,'byte_1500'
'time_3',3098,1861,3100,-1065,2035,-793,1242,-3,1239,-4,1235,7,1242,-3,1239,-195,1044,'byte_1500'
'time_3',3100,991,2035,-793,1242,-3,1239,-4,1235,7,1242,-3,1239,-195,1044,-13,1031,'byte_1500'
'time_3',2035,211,1242,-3,1239,-4,1235,7,1242,-3,1239,-195,1044,-13,1031,4,1035,'byte_1500'
'time_3',1242,204,1239,-4,1235,7,1242,-3,1239,-195,1044,-13,1031,4,1035,-4,1031,'byte_1500'
'time_3',1239,204,1235,7,1242,-3,1239,-195,1044,-13,1031,4,1035,-4,1031,0,1031,'byte_1000'
'time_3',1235,211,1242,-3,1239,-195,1044,-13,1031,4,1035,-4,1031,0,1031,-57,974,'byte_1000'
'time_4',1242,265,1239,-195,1044,-13,1031,4,1035,-4,1031,0,1031,-57,974,-148,826,'byte_1000'
'time_4',1239,218,1044,-13,1031,4,1035,-4,1031,0,1031,-57,974,-148,826,0,826,'byte_1000'
'time_4',1044,205,1031,4,1035,-4,1031,0,1031,-57,974,-148,826,0,826,0,826,'byte_1000'
'time_4',1031,209,1035,-4,1031,0,1031,-57,974,-148,826,0,826,0,826,0,826,'byte_1000'
'time_4',1035,205,1031,0,1031,-57,974,-148,826,0,826,0,826,0,826,0,826,'byte_2000'
'time_5',1031,205,1031,-57,974,-148,826,0,826,0,826,0,826,0,826,978,1804,'byte_2000'
'time_5',1031,-830,974,-148,826,0,826,0,826,0,826,0,826,978,1804,-257,1547,'byte_2000'
'time_5',974,-721,826,0,826,0,826,0,826,0,826,978,1804,-257,1547,309,1856,'byte_2500'
'time_5',826,-1030,826,0,826,0,826,0,826,978,1804,-257,1547,309,1856,370,2226,'byte_2000'
'time_5',826,-1400,826,0,826,0,826,978,1804,-257,1547,309,1856,370,2226,-668,1558,'byte_2000'
'time_5',826,-732,826,0,826,978,1804,-257,1547,309,1856,370,2226,-668,1558,298,1856,'byte_2500'
'time_6',826,-1030,826,978,1804,-257,1547,309,1856,370,2226,-668,1558,298,1856,628,2484,'byte_2000'
'time_6',826,-680,1804,-257,1547,309,1856,370,2226,-668,1558,298,1856,628,2484,-766,1718,'byte_2000'
'time_6',1804,-171,1547,309,1856,370,2226,-668,1558,298,1856,628,2484,-766,1718,-60,1658,'byte_500'
'time_6',1547,198,1856,370,2226,-668,1558,298,1856,628,2484,-766,1718,-60,1658,-1317,341,'byte_1000'
'time_6',1856,1885,2226,-668,1558,298,1856,628,2484,-766,1718,-60,1658,-1317,341,336,677,'byte_1500'
'time_6',2226,881,1558,298,1856,628,2484,-766,1718,-60,1658,-1317,341,336,677,366,1043,'byte_2500'
'time_7',1558,813,1856,628,2484,-766,1718,-60,1658,-1317,341,336,677,366,1043,1030,2073,'byte_4000'
'time_7',1856,411,2484,-766,1718,-60,1658,-1317,341,336,677,366,1043,1030,2073,1765,3838,'byte_2000'
'time_7',2484,-2120,1718,-60,1658,-1317,341,336,677,366,1043,1030,2073,1765,3838,-2115,1723,'byte_3500'
'time_7',1718,-65,1658,-1317,341,336,677,366,1043,1030,2073,1765,3838,-2115,1723,1377,3100,'byte_4000'
'time_7',1658,-2759,341,336,677,366,1043,1030,2073,1765,3838,-2115,1723,1377,3100,620,3720,'byte_3500'
'time_8',341,-3043,677,366,1043,1030,2073,1765,3838,-2115,1723,1377,3100,620,3720,-455,3265,'byte_4500'
'time_8',677,-2222,1043,1030,2073,1765,3838,-2115,1723,1377,3100,620,3720,-455,3265,871,4136,'byte_5000'
'time_8',1043,-2063,2073,1765,3838,-2115,1723,1377,3100,620,3720,-455,3265,871,4136,818,4954,'byte_4500'
'time_8',2073,-1116,3838,-2115,1723,1377,3100,620,3720,-455,3265,871,4136,818,4954,-825,4129,'byte_4500'
'time_9',3838,-2406,1723,1377,3100,620,3720,-455,3265,871,4136,818,4954,-825,4129,7,4136,'byte_5000'
'time_9',1723,-1036,3100,620,3720,-455,3265,871,4136,818,4954,-825,4129,7,4136,818,4954,'byte_4500'
'time_9',3100,-1234,3720,-455,3265,871,4136,818,4954,-825,4129,7,4136,818,4954,-560,4394,'byte_4500'
'time_9',3720,-1129,3265,871,4136,818,4954,-825,4129,7,4136,818,4954,-560,4394,45,4439,'byte_5500'
'time_9',3265,-303,4136,818,4954,-825,4129,7,4136,818,4954,-560,4394,45,4439,886,5325,'byte_4500'
'time_9',4136,-371,4954,-825,4129,7,4136,818,4954,-560,4394,45,4439,886,5325,-887,4438,'byte_4500'
'time_10',4954,-309,4129,7,4136,818,4954,-560,4394,45,4439,886,5325,-887,4438,2,4440,'byte_5000'
'time_10',4129,-304,4136,818,4954,-560,4394,45,4439,886,5325,-887,4438,2,4440,152,4592,'byte_3000'
'time_10',4136,362,4954,-560,4394,45,4439,886,5325,-887,4438,2,4440,152,4592,-1922,2670,'byte_4000'
'time_10',4954,1724,4394,45,4439,886,5325,-887,4438,2,4440,152,4592,-1922,2670,1169,3839,'byte_4000'
'time_10',4394,600,4439,886,5325,-887,4438,2,4440,152,4592,-1922,2670,1169,3839,0,3839,'byte_3500'
'time_11',4439,1486,5325,-887,4438,2,4440,152,4592,-1922,2670,1169,3839,0,3839,-635,3204,'byte_4000'
'time_11',5325,1234,4438,2,4440,152,4592,-1922,2670,1169,3839,0,3839,-635,3204,319,3523,'byte_5500'
'time_11',4438,917,4440,152,4592,-1922,2670,1169,3839,0,3839,-635,3204,319,3523,1623,5146,'byte_6500'
'time_11',4440,-554,4592,-1922,2670,1169,3839,0,3839,-635,3204,319,3523,1623,5146,1064,6210,'byte_5500'
'time_11',4592,-3540,2670,1169,3839,0,3839,-635,3204,319,3523,1623,5146,1064,6210,-1047,5163,'byte_5500'
'time_11',2670,-1324,3839,0,3839,-635,3204,319,3523,1623,5146,1064,6210,-1047,5163,30,5193,'byte_6500'
'time_12',3839,-1354,3839,-635,3204,319,3523,1623,5146,1064,6210,-1047,5163,30,5193,1004,6197,'byte_6500'
'time_12',3839,-2993,3204,319,3523,1623,5146,1064,6210,-1047,5163,30,5193,1004,6197,-87,6110,'byte_8000'
'time_12',3204,-2587,3523,1623,5146,1064,6210,-1047,5163,30,5193,1004,6197,-87,6110,1446,7556,'byte_6500'
'time_12',3523,-2410,5146,1064,6210,-1047,5163,30,5193,1004,6197,-87,6110,1446,7556,-1254,6302,'byte_6500'
'time_12',5146,-92,6210,-1047,5163,30,5193,1004,6197,-87,6110,1446,7556,-1254,6302,-11,6291,'byte_6500'
'time_13',6210,-1128,5163,30,5193,1004,6197,-87,6110,1446,7556,-1254,6302,-11,6291,10,6301,'byte_7500'
'time_13',5163,-1108,5193,1004,6197,-87,6110,1446,7556,-1254,6302,-11,6291,10,6301,886,7187,'byte_7000'
'time_13',5193,-990,6197,-87,6110,1446,7556,-1254,6302,-11,6291,10,6301,886,7187,-376,6811,'byte_5000'
'time_13',6197,-701,6110,1446,7556,-1254,6302,-11,6291,10,6301,886,7187,-376,6811,-2082,4729,'byte_7000'
'time_13',6110,2827,7556,-1254,6302,-11,6291,10,6301,886,7187,-376,6811,-2082,4729,2102,6831,'byte_7000'
'time_13',7556,-529,6302,-11,6291,10,6301,886,7187,-376,6811,-2082,4729,2102,6831,-20,6811,'byte_5000'
'time_14',6302,-520,6291,10,6301,886,7187,-376,6811,-2082,4729,2102,6831,-20,6811,-1823,4988,'byte_9000'
'time_14',6291,1313,6301,886,7187,-376,6811,-2082,4729,2102,6831,-20,6811,-1823,4988,3559,8547,'byte_7500'
'time_14',6301,-1360,7187,-376,6811,-2082,4729,2102,6831,-20,6811,-1823,4988,3559,8547,-1425,7122,'byte_9000'
'time_14',7187,-311,6811,-2082,4729,2102,6831,-20,6811,-1823,4988,3559,8547,-1425,7122,1458,8580,'byte_7500'
'time_14',6811,-3851,4729,2102,6831,-20,6811,-1823,4988,3559,8547,-1425,7122,1458,8580,-1479,7101,'byte_7500'
'time_14',4729,-270,6831,-20,6811,-1823,4988,3559,8547,-1425,7122,1458,8580,-1479,7101,53,7154,'byte_10000'
'time_15',6831,-343,6811,-1823,4988,3559,8547,-1425,7122,1458,8580,-1479,7101,53,7154,2543,9697,'byte_7000'
'time_15',6811,-4709,4988,3559,8547,-1425,7122,1458,8580,-1479,7101,53,7154,2543,9697,-2810,6887,'byte_10000'
'time_15',4988,1660,8547,-1425,7122,1458,8580,-1479,7101,53,7154,2543,9697,-2810,6887,3022,9909,'byte_10000'
'time_15',8547,-2787,7122,1458,8580,-1479,7101,53,7154,2543,9697,-2810,6887,3022,9909,1,9910,'byte_7000'
'time_15',7122,-1330,8580,-1479,7101,53,7154,2543,9697,-2810,6887,3022,9909,1,9910,-3029,6881,'byte_10000'
'time_16',8580,220,7101,53,7154,2543,9697,-2810,6887,3022,9909,1,9910,-3029,6881,3081,9962,'byte_8500'
'time_16',7101,-2808,7154,2543,9697,-2810,6887,3022,9909,1,9910,-3029,6881,3081,9962,-1605,8357,'byte_8500'
