@relation dataset_1_500der_win10
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute d_bandwidth_4 numeric
@attribute bandwidth_5 numeric
@attribute d_bandwidth_5 numeric
@attribute bandwidth_6 numeric
@attribute d_bandwidth_6 numeric
@attribute bandwidth_7 numeric
@attribute d_bandwidth_7 numeric
@attribute bandwidth_8 numeric
@attribute prediction_class {'byte_0','byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_8',2061,-1029,2070,255,2325,257,2582,1131,3713,-615,3098,2,3100,-1,3099,680,3779,'byte_3500'
'time_8',2070,-1454,2325,257,2582,1131,3713,-615,3098,2,3100,-1,3099,680,3779,-338,3441,'byte_5000'
'time_8',2325,-859,2582,1131,3713,-615,3098,2,3100,-1,3099,680,3779,-338,3441,1520,4961,'byte_4500'
'time_8',2582,-1248,3713,-615,3098,2,3100,-1,3099,680,3779,-338,3441,1520,4961,-832,4129,'byte_3500'
'time_8',3713,-1031,3098,2,3100,-1,3099,680,3779,-338,3441,1520,4961,-832,4129,-683,3446,'byte_5000'
'time_8',3098,-346,3100,-1,3099,680,3779,-338,3441,1520,4961,-832,4129,-683,3446,1535,4981,'byte_4500'
'time_9',3100,-1882,3099,680,3779,-338,3441,1520,4961,-832,4129,-683,3446,1535,4981,-542,4439,'byte_4500'
'time_9',3099,-660,3779,-338,3441,1520,4961,-832,4129,-683,3446,1535,4981,-542,4439,8,4447,'byte_4000'
'time_9',3779,-1006,3441,1520,4961,-832,4129,-683,3446,1535,4981,-542,4439,8,4447,-747,3700,'byte_5500'
'time_9',3441,1261,4961,-832,4129,-683,3446,1535,4981,-542,4439,8,4447,-747,3700,1625,5325,'byte_4500'
'time_9',4961,-1196,4129,-683,3446,1535,4981,-542,4439,8,4447,-747,3700,1625,5325,-879,4446,'byte_3500'
'time_10',4129,-1000,3446,1535,4981,-542,4439,8,4447,-747,3700,1625,5325,-879,4446,-1011,3435,'byte_4000'
'time_10',3446,1546,4981,-542,4439,8,4447,-747,3700,1625,5325,-879,4446,-1011,3435,410,3845,'byte_3500'
'time_10',4981,594,4439,8,4447,-747,3700,1625,5325,-879,4446,-1011,3435,410,3845,-641,3204,'byte_3000'
'time_10',4439,1243,4447,-747,3700,1625,5325,-879,4446,-1011,3435,410,3845,-641,3204,-534,2670,'byte_4000'
'time_10',4447,1030,3700,1625,5325,-879,4446,-1011,3435,410,3845,-641,3204,-534,2670,1168,3838,'byte_3500'
'time_10',3700,1487,5325,-879,4446,-1011,3435,410,3845,-641,3204,-534,2670,1168,3838,-634,3204,'byte_4000'
'time_11',5325,1242,4446,-1011,3435,410,3845,-641,3204,-534,2670,1168,3838,-634,3204,556,3760,'byte_6500'
'time_11',4446,-325,3435,410,3845,-641,3204,-534,2670,1168,3838,-634,3204,556,3760,2437,6197,'byte_5500'
'time_11',3435,-2352,3845,-641,3204,-534,2670,1168,3838,-634,3204,556,3760,2437,6197,-1037,5160,'byte_4500'
'time_11',3845,-1956,3204,-534,2670,1168,3838,-634,3204,556,3760,2437,6197,-1037,5160,-849,4311,'byte_6500'
'time_11',3204,-1641,2670,1168,3838,-634,3204,556,3760,2437,6197,-1037,5160,-849,4311,1879,6190,'byte_5500'
'time_11',2670,-2352,3838,-634,3204,556,3760,2437,6197,-1037,5160,-849,4311,1879,6190,-944,5246,'byte_5500'
'time_12',3838,-2042,3204,556,3760,2437,6197,-1037,5160,-849,4311,1879,6190,-944,5246,6,5252,'byte_6500'
'time_12',3204,-1492,3760,2437,6197,-1037,5160,-849,4311,1879,6190,-944,5246,6,5252,1047,6299,'byte_8000'
'time_12',3760,-102,6197,-1037,5160,-849,4311,1879,6190,-944,5246,6,5252,1047,6299,1266,7565,'byte_5500'
'time_12',6197,-2405,5160,-849,4311,1879,6190,-944,5246,6,5252,1047,6299,1266,7565,-2318,5247,'byte_8000'
'time_12',5160,-936,4311,1879,6190,-944,5246,6,5252,1047,6299,1266,7565,-2318,5247,2311,7558,'byte_6500'
'time_13',4311,-1368,6190,-944,5246,6,5252,1047,6299,1266,7565,-2318,5247,2311,7558,-1539,6019,'byte_5000'
'time_13',6190,-773,5246,6,5252,1047,6299,1266,7565,-2318,5247,2311,7558,-1539,6019,-1284,4735,'byte_6000'
'time_13',5246,517,5252,1047,6299,1266,7565,-2318,5247,2311,7558,-1539,6019,-1284,4735,947,5682,'byte_7000'
'time_13',5252,617,6299,1266,7565,-2318,5247,2311,7558,-1539,6019,-1284,4735,947,5682,1136,6818,'byte_6000'
'time_13',6299,747,7565,-2318,5247,2311,7558,-1539,6019,-1284,4735,947,5682,1136,6818,-1142,5676,'byte_6000'
'time_13',7565,-429,5247,2311,7558,-1539,6019,-1284,4735,947,5682,1136,6818,-1142,5676,8,5684,'byte_7000'
'time_14',5247,1874,7558,-1539,6019,-1284,4735,947,5682,1136,6818,-1142,5676,8,5684,1261,6945,'byte_6000'
'time_14',7558,-926,6019,-1284,4735,947,5682,1136,6818,-1142,5676,8,5684,1261,6945,-1004,5941,'byte_7500'
'time_14',6019,-1206,4735,947,5682,1136,6818,-1142,5676,8,5684,1261,6945,-1004,5941,1187,7128,'byte_9000'
'time_14',4735,-1446,5682,1136,6818,-1142,5676,8,5684,1261,6945,-1004,5941,1187,7128,1422,8550,'byte_6000'
'time_14',5682,-1732,6818,-1142,5676,8,5684,1261,6945,-1004,5941,1187,7128,1422,8550,-2609,5941,'byte_9000'
'time_14',6818,-265,5676,8,5684,1261,6945,-1004,5941,1187,7128,1422,8550,-2609,5941,2920,8861,'byte_8500'
'time_15',5676,-3177,5684,1261,6945,-1004,5941,1187,7128,1422,8550,-2609,5941,2920,8861,-595,8266,'byte_7000'
'time_15',5684,-1321,6945,-1004,5941,1187,7128,1422,8550,-2609,5941,2920,8861,-595,8266,-1378,6888,'byte_8500'
'time_15',6945,-947,5941,1187,7128,1422,8550,-2609,5941,2920,8861,-595,8266,-1378,6888,1374,8262,'byte_10000'
'time_15',5941,-1134,7128,1422,8550,-2609,5941,2920,8861,-595,8266,-1378,6888,1374,8262,1662,9924,'byte_7000'
'time_15',7128,-1374,8550,-2609,5941,2920,8861,-595,8266,-1378,6888,1374,8262,1662,9924,-3036,6888,'byte_10000'
'time_16',8550,-947,5941,2920,8861,-595,8266,-1378,6888,1374,8262,1662,9924,-3036,6888,3089,9977,'byte_8500'
'time_16',5941,-1116,8861,-595,8266,-1378,6888,1374,8262,1662,9924,-3036,6888,3089,9977,-1612,8365,'byte_7000'
'time_16',8861,-99,8266,-1378,6888,1374,8262,1662,9924,-3036,6888,3089,9977,-1612,8365,-1389,6976,'byte_10000'
'time_16',8266,-88,6888,1374,8262,1662,9924,-3036,6888,3089,9977,-1612,8365,-1389,6976,3058,10034,'byte_8500'
'time_16',6888,-1772,8262,1662,9924,-3036,6888,3089,9977,-1612,8365,-1389,6976,3058,10034,-1665,8369,'byte_7000'
'time_16',8262,1555,9924,-3036,6888,3089,9977,-1612,8365,-1389,6976,3058,10034,-1665,8369,-1404,6965,'byte_7000'
'time_17',9924,-77,6888,3089,9977,-1612,8365,-1389,6976,3058,10034,-1665,8369,-1404,6965,-337,6628,'byte_8000'
'time_17',6888,3349,9977,-1612,8365,-1389,6976,3058,10034,-1665,8369,-1404,6965,-337,6628,1056,7684,'byte_5500'
'time_17',9977,681,8365,-1389,6976,3058,10034,-1665,8369,-1404,6965,-337,6628,1056,7684,-2349,5335,'byte_8000'
'time_17',8365,1641,6976,3058,10034,-1665,8369,-1404,6965,-337,6628,1056,7684,-2349,5335,2342,7677,'byte_6500'
'time_17',6976,2357,10034,-1665,8369,-1404,6965,-337,6628,1056,7684,-2349,5335,2342,7677,-1268,6409,'byte_5500'
'time_17',10034,1960,8369,-1404,6965,-337,6628,1056,7684,-2349,5335,2342,7677,-1268,6409,-1299,5110,'byte_7000'
'time_18',8369,1855,6965,-337,6628,1056,7684,-2349,5335,2342,7677,-1268,6409,-1299,5110,1398,6508,'byte_5500'
'time_18',6965,120,6628,1056,7684,-2349,5335,2342,7677,-1268,6409,-1299,5110,1398,6508,-1090,5418,'byte_5000'
'time_18',6628,2266,7684,-2349,5335,2342,7677,-1268,6409,-1299,5110,1398,6508,-1090,5418,-897,4521,'byte_5500'
'time_18',7684,814,5335,2342,7677,-1268,6409,-1299,5110,1398,6508,-1090,5418,-897,4521,903,5424,'byte_7000'
'time_18',5335,2253,7677,-1268,6409,-1299,5110,1398,6508,-1090,5418,-897,4521,903,5424,1084,6508,'byte_7500'
'time_19',7677,-99,6409,-1299,5110,1398,6508,-1090,5418,-897,4521,903,5424,1084,6508,765,7273,'byte_10000'
'time_19',6409,-2163,5110,1398,6508,-1090,5418,-897,4521,903,5424,1084,6508,765,7273,2947,10220,'byte_10000'
'time_19',5110,-3712,6508,-1090,5418,-897,4521,903,5424,1084,6508,765,7273,2947,10220,2048,12268,'byte_10000'
'time_19',6508,-6850,5418,-897,4521,903,5424,1084,6508,765,7273,2947,10220,2048,12268,-2041,10227,'byte_9000'
'time_19',5418,-5706,4521,903,5424,1084,6508,765,7273,2947,10220,2048,12268,-2041,10227,-1705,8522,'byte_10000'
'time_19',4521,-3098,5424,1084,6508,765,7273,2947,10220,2048,12268,-2041,10227,-1705,8522,3773,12295,'byte_10000'
'time_20',5424,-5787,6508,765,7273,2947,10220,2048,12268,-2041,10227,-1705,8522,3773,12295,-1969,10326,'byte_9000'
'time_20',6508,-3053,7273,2947,10220,2048,12268,-2041,10227,-1705,8522,3773,12295,-1969,10326,-1715,8611,'byte_10000'
'time_20',7273,1609,10220,2048,12268,-2041,10227,-1705,8522,3773,12295,-1969,10326,-1715,8611,3776,12387,'byte_10000'
'time_20',10220,-119,12268,-2041,10227,-1705,8522,3773,12295,-1969,10326,-1715,8611,3776,12387,-2061,10326,'byte_9000'
'time_20',12268,-99,10227,-1705,8522,3773,12295,-1969,10326,-1715,8611,3776,12387,-2061,10326,-1716,8610,'byte_10000'
'time_21',10227,-88,8522,3773,12295,-1969,10326,-1715,8611,3776,12387,-2061,10326,-1716,8610,1723,10333,'byte_10000'
'time_21',8522,1962,12295,-1969,10326,-1715,8611,3776,12387,-2061,10326,-1716,8610,1723,10333,2054,12387,'byte_10000'
'time_21',12295,-2061,10326,-1715,8611,3776,12387,-2061,10326,-1716,8610,1723,10333,2054,12387,-2055,10332,'byte_9000'
'time_21',10326,-1721,8611,3776,12387,-2061,10326,-1716,8610,1723,10333,2054,12387,-2055,10332,-1727,8605,'byte_10000'
'time_21',8611,3782,12387,-2061,10326,-1716,8610,1723,10333,2054,12387,-2055,10332,-1727,8605,1728,10333,'byte_10000'
'time_21',12387,-7,10326,-1716,8610,1723,10333,2054,12387,-2055,10332,-1727,8605,1728,10333,2061,12394,'byte_8500'
'time_22',10326,-3784,8610,1723,10333,2054,12387,-2055,10332,-1727,8605,1728,10333,2061,12394,-4222,8172,'byte_6500'
'time_22',8610,2161,10333,2054,12387,-2055,10332,-1727,8605,1728,10333,2061,12394,-4222,8172,-2149,6023,'byte_500'
'time_22',10333,6364,12387,-2055,10332,-1727,8605,1728,10333,2061,12394,-4222,8172,-2149,6023,-5871,152,'byte_6500'
'time_22',12387,10180,10332,-1727,8605,1728,10333,2061,12394,-4222,8172,-2149,6023,-5871,152,6048,6200,'byte_6500'
'time_22',10332,2405,8605,1728,10333,2061,12394,-4222,8172,-2149,6023,-5871,152,6048,6200,-5,6195,'byte_6500'
'time_22',8605,4138,10333,2061,12394,-4222,8172,-2149,6023,-5871,152,6048,6200,-5,6195,3,6198,'byte_6500'
'time_23',10333,6196,12394,-4222,8172,-2149,6023,-5871,152,6048,6200,-5,6195,3,6198,-4,6194,'byte_6500'
'time_23',12394,1978,8172,-2149,6023,-5871,152,6048,6200,-5,6195,3,6198,-4,6194,4,6198,'byte_5500'
'time_23',8172,-175,6023,-5871,152,6048,6200,-5,6195,3,6198,-4,6194,4,6198,-871,5327,'byte_4500'
